Date,Name
Jan-01,New Year's Day
Jan-02,Second Day of the New Year
Jan-11,Missionary Day
Jan-12,Swami Vivekananda's Birthday
Jan-13,Makara Sankranti
Jan-14,Sankranti
Jan-14,Pongal
Jan-14,Magh Bihu
Jan-14,Makar Sankranti
Jan-15,Kanuma
Jan-15,Tusu Puja
Jan-15,Thiruvalluvar Day
Jan-16,Uzhavar Tirunal
Jan-20,Guru Gobind Singh's Birthday
Jan-23,Netaji Subhas Chandra Bose's Birthday
Jan-25,Statehood Day
Jan-25,Imoinu Iratpa
Jan-26,Republic Day
Jan-26,Gann-Ngai
Jan-28,Thaipoosam
Jan-31,Me-dam-me-phi
Feb-12,Sonam Lhosar
Feb-12,Tibetan New Year
Feb-14,Valentine's Day
Feb-15,Lui-Ngai-Ni
Feb-16,Vasant Panchami
Feb-19,Chahhtrapati Shivaji Maharaj's Birthday
Feb-20,Statehood Day
Feb-20,Mizoram State Day
Feb-26,Imam Ali's Birthday
Feb-27,Bir Chilarai Divas
Feb-27,Guru Ravidas' Birthday
Feb-27,Bhumchu Festival
Mar-05,Chapchar Kut
Mar-05,Biju Patnaik's Birthday
Mar-08,International Women's Day
Mar-11,Maha Shivratri
Mar-11,Muhammad's Ascension to Heaven
Mar-20,March Equinox
Mar-21,Persian New Year's Day
Mar-22,BIhar Divas
Mar-23,"Shaheedi Diwas of Bhagat Singh, Rajguru and Sukhdev"
Mar-28,Doljatra
Mar-28,Day before the Festival of Colors
Mar-29,Shab-e-Barat
Mar-29,Festival of Colors
Mar-29,Second Day of Yaosang
Mar-30,Day after the Festival of Colors
Apr-01,Bank Holiday
Apr-01,Odisha Day
Apr-02,Good Friday
Apr-04,Easter
Apr-05,Babu Jagjivan Ram's Birthday
Apr-08,Sri Guru Nabha Dass Ji's Birthday
Apr-13,Marathi Hindu New Year's Day
Apr-13,Ugadi
Apr-13,Sindhi New Year's Day
Apr-13,Navratra
Apr-13,Sajibu Nongma Panba
Apr-13,Vaisakhi
Apr-14,Doctor Ambedkar's Birthday
Apr-14,Assamese New Year's Eve
Apr-14,Vishu
Apr-14,Cheiraoba
Apr-14,Maha Vishuba Sankranti
Apr-14,Tamil New Year's Day
Apr-14,Biju Festival
Apr-15,Himachal Day
Apr-15,Assamese New Year's Day
Apr-15,Bengali New Year's Day
Apr-15,Sarhul
Apr-16,Second Day of the Assamese New Year
Apr-20,Ashoka's Birthday
Apr-21,Ram Navami
Apr-21,Sati Sadhani Divas
Apr-21,Rama Navami
Apr-21,Garia Puja
Apr-22,Second Day of Garia Puja
Apr-23,Veer Kunwar Singh's Birthday
Apr-25,Mahavira's Birthday
May-01,Labor Day
May-01,Maharashtra Day
May-01,Guru Tegh Bahadur Ji's Birthday
May-07,Jumat-ul-Wida
May-09,Mother's Day
May-09,Night of Destiny
May-09,Rabindra Nath Tagore's Birthday
May-12,Tithi of Damodardev
May-13,Festival of Breaking the Fast
May-14,Festival of Breaking the Fast
May-14,Parashurama's Birthday
May-14,Basavanna's Birthday
May-15,Second Day of the Festival of Breaking the Fast
May-16,Sikkim State Day
May-20,Janaki Nawami
May-26,Buddha's Birthday
May-26,Kazi Nazrul Islam's Birthday
May-27,Madhavdev's Birthday
Jun-10,Savitri Amavasya
Jun-13,Maharana Pratap's Birthday
Jun-14,Pahili Raja
Jun-14,Martyrdom Day of Sri Guru Arjun Dev Ji
Jun-15,YMA Day
Jun-15,Raja Sankranti
Jun-20,Father's Day
Jun-21,June Solstice
Jun-24,Sant Guru Kabir's Birthday
Jun-25,Guru Hargobind's Birthday
Jun-30,Remna Ni
Jul-06,MHIP Day
Jul-11,Behdienkhlam
Jul-12,Ratha Yarta
Jul-12,Rath Yatra
Jul-14,Anniversary of Lord Buddha's First Sermon
Jul-16,Harela
Jul-17,Tirot Sing's Birthday
Jul-17,Kharchi Puja
Jul-20,Feast of the Sacrifice
Jul-20,Second Day of the Feast of the Sacrifice
Jul-21,Feast of the Sacrifice
Jul-31,Martyrdom Day of Shaheed Udham Singh
Jul-31,Ker Puja
Aug-01,Friendship Day
Aug-02,Bonalu
Aug-09,Day of the Adivasi
Aug-13,Patriot's Day
Aug-15,Independence Day
Aug-16,Parsi New Year's Day
Aug-16,De Jure Transfer Day
Aug-19,Ashura
Aug-20,Ashura
Aug-20,Onam
Aug-21,Thiruvonam
Aug-22,Raksha Bandhan
Aug-23,Sree Narayana Guru's Birthday
Aug-27,Tithi of Madhavdev
Aug-29,Karam Puga
Aug-30,Janmashtami
Aug-31,Janmashtami
Sep-09,Harithalika
Sep-09,Teej
Sep-10,Ganesh Chaturthi
Sep-10,Samvatsari
Sep-11,Day after Ganesh Chaturthi
Sep-11,Nuakhai
Sep-16,Baba Ramdev's Birthday
Sep-20,Indra Jatra
Sep-21,Sree Narayana Guru Samadhi
Sep-22,September Equinox
Sep-23,Haryana Heroes' Martyrdom Day
Sep-28,Chehlum
Oct-02,Mahatma Gandhi's Birthday
Oct-05,Nar Bahadur Bhandari's Birthday
Oct-06,Mahalaya
Oct-06,Bathukamma
Oct-07,Maharaja Agrasen's Birthday
Oct-07,Mera Chaoren Houba
Oct-12,Maha Saptami
Oct-13,Durgashtami
Oct-13,Durga Ashtami
Oct-14,Navami of Durga Puja
Oct-14,Mahanavami
Oct-14,Ayudha Puja
Oct-14,Day before Dussehra
Oct-15,Vijayadashami
Oct-15,Dussehra
Oct-15,Durga Puja
Oct-15,Srimanta Sankardeva's Birthday
Oct-15,Vijayasasami
Oct-16,Day after Durga Puja
Oct-18,Kati Bihu
Oct-19,Birth of the Prophet
Oct-20,Kumar Purnima
Oct-20,Maharishi Valmiki's Birthday
Oct-20,Lakshmi Puja
Oct-20,Birth of the Prophet
Oct-22,Friday after the Feast of the Sacrifice
Oct-26,Accession Day
Oct-27,Descending Day of Lord Buddha
Oct-31,Sardar Patel's Birthday
Nov-01,Haryana Day
Nov-01,Kannada Rajyothsava
Nov-01,Kut
Nov-01,Puducherry Liberation Day
Nov-03,Naraka Chaturdasi
Nov-04,Festival of Lights
Nov-04,Kali Puja
Nov-05,Festival of Lights
Nov-05,Vikram Samvat New Year's Day
Nov-05,Govardhan Puja
Nov-05,Day after Diwali
Nov-05,Vishvakarma Day
Nov-05,Ningol Chakouba
Nov-06,Bhai Dooj
Nov-06,Bhai Bij
Nov-06,Bhai Duj
Nov-10,Chhath Puja
Nov-11,Day after Chhath Puja
Nov-12,Wangala Festival
Nov-19,Guru Nanak's Birthday
Nov-19,Rasa Purnima
Nov-22,Kanakadasa's Birthday
Nov-23,Seng Kut Snem
Nov-24,Lachit Divas
Dec-01,Indigenous Faith Day
Dec-01,State Inauguration Day
Dec-02,Asom Divas
Dec-03,Feast of Saint Francis Xavier
Dec-08,Martyrdom of Sri Guru Teg Bahadur Ji
Dec-18,Guru Ghasidas' Birthday
Dec-18,Death Anniversary of U Soso Tham
Dec-19,Goa Liberation Day
Dec-19,Teyongsi Sirijunga Sawan Tongnam
Dec-21,December Solstice
Dec-23,Day before Christmas Eve
Dec-24,Christmas Eve
Dec-24,Barahimizong
Dec-24,Sakewa
Dec-25,Christmas Day
Dec-26,Day after Christmas
Dec-26,Boxing Day
Dec-27,Christmas Festival
Dec-27,Christmas Holiday
Dec-28,Second Day of the Christmas Holiday
Dec-29,Third Day of the Christmas Holiday
Dec-30,U Kiang Nangbah
Dec-30,Fourth Day of the Christmas Holiday
Dec-30,Tamu Lhosar
Dec-31,New Year's Eve
Dec-31,Fifth Day of the Christmas Holiday
